TITULO:,CATÁLOGO
MODERN LANGUAGE ASSOCIATION OF AMERICA (MLA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MOHR SIEBECK,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MOHR SIEBECK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MONASH UNIV PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MONDADORI (PENGUIN RANDOM HOUSE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MONDUZZI EDITORE S P A,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"MONGOL GAZAR, SCIENTIFIC DIV",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MONTCHRESTIEN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MONTHLY REVIEW PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MORATA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MORGAN & CLAYPOOL PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MORGAN & CLAYPOOL PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MORGAN AND CLAYPOOL PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MORGAN KAUFMANN PUB INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MOSBY INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MOSCOW UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MOUNTAIN PRESS PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MPDI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MULTILINGUAL MATTERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MULTILINGUAL MATTERS LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MULTIVERS PUBLISHERS APS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MUSEE NATL HISTOIRE NATURELLE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MUSÉE PICASSO PARIS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEO ARQUEOLOGICO REGIONAL. ALCALÁ DE HENARES.,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEO DE PREHISTORIA DE VALENCIA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MUSEO NACIONAL CENTRO DE ARTE REINA SOFÍA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEO NACIONAL CENTRO DE ARTE REINA SOFIA (MNCARS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEO PICASSO BARCELONA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEO PICASSO MÁLAGA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEU NACIONAL D’ART DE CATALUNYA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
MUSEU NACIONAL-UNIV FEDERAL DO RIO DE JANEIRO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MUSEUM TUSCULANUM PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
MUTYA PUBLISHING HOUSE INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
MUZEUM BESKYD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NABU WALDECK-FRANKENBERG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NAFTA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NAKLADATELSTVI UTB ZLINE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NARCEA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NARODNI PAMATKOVY USTAV-NATL HERITAGE INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NARR FRANCKE ATTEMPTO VERLAG GMBH & CO KG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATIONAL ASSOCIATION OF CORROSION ENGINEERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NATIONAL BOTANIC GARDEN OF BELGIUM,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NATIONAL COUNCIL OF TEACHERS OF MATHEMATICS (NCTM),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NATIONAL INSTITUTE OF WATER AND ATOMSPHERIC,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"NATIONAL OCEANOGRAPHY CENTRE, SOUTHAMPTON",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NATL ACADEMIES PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"NATL ACADEMY SCIENCES UKRAINE, S P TIMOSHENKO INST MECHANICS",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATL BOTANICAL GARDEN BELGIUM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATL DEFENCE INDUSTRY PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATL PARKS & WILDLIFE SERVICE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATURA OPTIMA DUX FOUNDATION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATURAL ENERGY WORKS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NATURALIS BIODIVERSITY CENTER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NAU LLIBRES (EDICIONS CULTURALS VALENCIANES),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NEISSE VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NETBIBLO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NEW YORK ACADEMY OF SCIENCES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NEW YORK UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NEW ZEALAND DEPARTMENT OF CONSERVATION - SCIENCE PUBLICATIONS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NEW ZEALAND FRESHWATER SCIENCES SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NEWNES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NODUS PUBLIKATIONEN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NOMOS VERLAGSGESELLSCHAFT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NOMOS VERLAGSGESELLSCHAFT MBH & CO KG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NORDIA GEOGRAPHICAL PUBLICATIONS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NORTH HOLLAND,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"NORTH HOLLAND, ELSEVIER SCIENCE PUBL BV",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NORTHEASTERN UNIV PR,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NORTH-EUROPEAN SCIENTIFIC PUBLISHERS-NESP,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NORTH-HOLLAND PUBL CO,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NORTHWESTERN UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NORWEGIAN PETROLEUM DIRECTORATE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NOTTINGHAM UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NOVA SCIENCE PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"NOVA SCIENCE PUBLISHERS, INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NOVEDUC LIBROS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
NOW PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NOW PUBLISHERS INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NSTA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
NUMDAM (NUMERISATION DE DOCUMENTS ANCIENS MATHEMATIQUES),<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
NUS PRESS PTE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OCTAEDRO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OECD,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OHIO STATE UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OHIO UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OIKOS-TAU,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OLDENBOURG WISSENSCHAFTSVERLAG GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OLEJNIK (ARGENTINA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OMEGA PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OMNIASCIENCE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OPEN BOOK PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OPEN BOOK PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OPEN UNIVERSITY PRESS (MCGRAW-HILL EDUCATION),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ORBIS TERTIUS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ORTADOGU REKLAM TANITIM & YAYINCILIK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"OVERLOOK DUCKWORTH, PETER MAYER PUBL INC",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OXBOW BOOKS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OXFORD FAJAR SDN BHD -008974-T,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OXFORD UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
OXFORD UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
OXFORD UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
PABST SCIENCE PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PAGÈS EDITORS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PAIDÓS (GRUPO PLANETA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PAIDÓS ARGENTINA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PAIDOTRIBO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PALACKY UNIV OLOMOUC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALAEONTOLOGICAL ASSOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALESTRA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PALGRAVE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALGRAVE MACMILLAN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALGRAVE MACMILLAN,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
PALGRAVE MACMILLAN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PALGRAVE MACMILLAN LTD.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
PALGRAVE PIVOT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALLAS PUBLICATIONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PALMENIA CENTRE CONTINUING EDUCATION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PAN STANFORD PUBLISHING PTE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PASADO & PRESENTE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PÀTRON EDITORE (ITALIA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PEARSON EDUCACIÓN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PEARSON EDUCATION LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PEARSON PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"PEDAGOGICAL UNIV CRACOW, INST EDUCATIONAL STUDIES",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PEDONE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PEETERS (LEUVEN),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
PEETERS PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
PELAGIC PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PENERBIT UMT PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PENERBIT UNIV KEBANGSAAN MALAYSIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PENERBIT UTEM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
PENERBIT UTM PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
